,rbfsvm,lightgbm,gbc
Neg_test1,0,1,0
Neg_test3,0,0,0
Neg_test5,0,0,0
Neg_test7,0,0,0
Neg_test9,0,0,0
Neg_test11,0,0,0
Neg_test13,0,0,0
Neg_test15,0,0,0
Neg_test17,0,0,0
Neg_test19,0,0,0
Neg_test21,0,0,0
Neg_test23,0,0,0
Neg_test25,0,0,0
Neg_test27,1,1,1
Neg_test29,0,0,0
Neg_test31,0,0,0
Neg_test33,0,0,0
Neg_test35,0,1,1
Neg_test37,1,1,1
Neg_test39,1,0,0
Neg_test41,0,0,0
Neg_test43,0,0,0
Neg_test45,0,0,0
Neg_test47,0,0,0
Neg_test49,0,1,1
Neg_test51,1,1,1
Neg_test53,0,0,0
Neg_test55,0,0,0
Neg_test57,0,0,0
Neg_test59,0,0,0
Neg_test61,0,0,0
Neg_test63,0,0,0
Neg_test65,0,0,0
Neg_test67,0,0,0
Neg_test69,0,0,0
Neg_test71,0,0,0
Neg_test73,0,0,0
Neg_test75,1,0,1
Neg_test77,0,0,0
Neg_test79,0,0,0
Neg_test81,0,0,0
Neg_test83,0,0,0
Neg_test85,0,0,0
Neg_test87,0,0,0
Neg_test89,0,0,0
Neg_test91,0,0,0
Neg_test93,0,0,0
Neg_test95,0,0,0
Neg_test97,0,0,0
Neg_test99,0,0,0
Neg_test101,0,0,0
Neg_test103,0,0,0
Neg_test105,0,0,0
Neg_test107,0,0,0
Neg_test109,0,0,1
Neg_test111,0,0,0
Neg_test113,0,1,1
Neg_test115,0,0,0
Neg_test117,0,0,0
Neg_test119,0,0,0
Neg_test121,0,0,1
Neg_test123,0,0,0
Neg_test125,0,0,0
Neg_test127,1,1,1
Neg_test129,0,0,1
Neg_test131,0,0,0
Neg_test133,1,1,1
Neg_test135,0,0,0
Neg_test137,0,0,0
Neg_test139,0,0,0
Neg_test141,0,1,0
Neg_test143,0,0,0
Neg_test145,0,0,0
Neg_test147,0,0,0
Neg_test149,0,0,0
Neg_test151,0,0,0
Neg_test153,0,0,0
Neg_test155,0,0,0
Neg_test157,0,0,0
Neg_test159,0,0,0
Neg_test161,0,0,0
Neg_test163,0,0,1
Neg_test165,0,0,0
Neg_test167,0,0,0
Neg_test169,0,0,0
Neg_test171,0,0,0
Neg_test173,0,0,0
Neg_test175,1,1,1
